software_name	webpage	description
MAPS	https://github.com/ijuric/MAPS	Model-based analysis of long-range chromatin interactions from PLAC-Seq and HiChIP experiments
BAMM-SC	https://github.com/lichen-lab/BAMMSC	a Bayesian mixture model for clustering droplet-based single cell transcriptomic data from multiple studies
DIMM-SC	http://www.pitt.edu/~wec47/singlecell.html	a Dirichlet mixture model for clustering droplet-based single cell transcrip tomic data
Hugin	https://yunliweb.its.unc.edu/Hugin/	(Hi-C Unifying Genomic INterrogator): a genome browser of the integrative analysis of Hi-C data, SNP data and epigenetic data from 7 human cell lines and 14 human tissues
FastHiC	https://yunliweb.its.unc.edu/fasthic/	a fast algorithm to detect long-range chromosomal interactions from Hi-C data
hichelix	http://www.stat.purdue.edu/~zhan1602/phm	inferring spatial organizations of chromosomes via helix models
HiView	https://yunliweb.its.unc.edu/HiView/	a genome browser for the integrative analysis of Hi-C data, SNP data and epigenetic data
HMRFBayesHiC	https://yunliweb.its.unc.edu/HMRFBayesHiC/	A hidden Markov random field based Bayesian method for the detection of long-range chromosomal interactions in Hi-C data
Bayesian 3D constructor for Hi-C data (BACH)	http://www.people.fas.harvard.edu/~junliu/BACH/	infer chromosome 3D structures and characterize chromatin structural variations
HiCNorm	http://www.people.fas.harvard.edu/~junliu/HiCNorm/	removing biases in Hi-C data via Poisson regression
GPUmotif	http://sourceforge.net/projects/gpumotif/	An ultra-fast and energy-efficient motif analysis program using graphics processing units
Poisson Mixed-Effects Regression for RNA-Seq Data (POME):	http://www.stat.purdue.edu/~yuzhu/pome.html	quantifying exon-level gene expression in RNA-Seq
Hybrid Motif Sampler (HMS)	https://sourceforge.net/projects/hybridmotifsampler	de novo motif discovery using ChIP-Seq data
Bayesian Expression Search Tool (BEST)	https://sourceforge.net/projects/bayesianexpressionsearchtool	query large scale microarray compendium datasets
